sample_id,dataset,priority,role,chain_depth,chain_breadth,expected_channel_mode,elf_path,bin_path,source_repo_id,source_repo_url,local_checkout,source_code_level,current_support_status,notes
contiki_cve_2020_12140_hello_world,monolithic-firmware-collection,high,primary_chain_driver,medium,medium,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-2020-12140/hello-world.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-2020-12140/hello-world.bin,contiki-ng,https://github.com/contiki-ng/contiki-ng,firmware/source_repos/contiki-ng,full_upstream_repo,target_for_artifact_gt,Good mesobench seed: real stack behavior with moderate parsing depth and official Contiki sources.
contiki_cve_2020_12141_snmp_server,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-2020-12141/snmp-server.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-2020-12141/snmp-server.bin,contiki-ng,https://github.com/contiki-ng/contiki-ng,firmware/source_repos/contiki-ng,full_upstream_repo,target_for_artifact_gt,['Targeted GT: one representative copy chain rooted at buffer_str().']
contiki_halucinator_cve_2019_9183_hello_world,monolithic-firmware-collection,high,primary_chain_driver,medium,medium,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-HALucinator-CVE-2019-9183/hello-world.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/contiki-ng/prebuilt_samples/CVE-HALucinator-CVE-2019-9183/hello-world.bin,contiki-ng,https://github.com/contiki-ng/contiki-ng,firmware/source_repos/contiki-ng,full_upstream_repo,target_for_artifact_gt,Useful as a Contiki negative/alternative CVE family with different parser shape than SNMP.
zephyr_cve_2020_10064,monolithic-firmware-collection,high,primary_chain_driver,medium,medium,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2020-10064/zephyr-CVE-2020-10064.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2020-10064/zephyr-CVE-2020-10064.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Zephyr prebuilt CVE sample with realistic subsystem plumbing and official source availability.
zephyr_cve_2020_10065,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2020-10065/zephyr-CVE-2020-10065.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2020-10065/zephyr-CVE-2020-10065.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,high_value_gt_target,['Targeted GT: one representative copy chain in the real Zephyr source build; semantic CVE-specific ACL path still pending.']
zephyr_cve_2020_10066,monolithic-firmware-collection,high,primary_chain_driver,deep,medium,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2020-10066/zephyr-CVE-2020-10066.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2020-10066/zephyr-CVE-2020-10066.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Complements 10064/10065 with a different Zephyr chain shape.
zephyr_cve_2021_3319,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3319/zephyr-CVE-2021-3319.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3319/zephyr-CVE-2021-3319.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Targeted GT now anchors the real rf2xx_trx_rx copy path from source code; current pipeline support is still partial.
zephyr_cve_2021_3320,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3320/zephyr-CVE-2021-3320.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3320/zephyr-CVE-2021-3320.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Use this and adjacent 2021 Zephyr samples as a batch for broader chain coverage without leaving one codebase.
zephyr_cve_2021_3321,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3321/zephyr-CVE-2021-3321.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3321/zephyr-CVE-2021-3321.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Another 2021 Zephyr parser/driver chain candidate; annotate only 1-3 representative paths first.
zephyr_cve_2021_3322,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3322/zephyr-CVE-2021-3322.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3322/zephyr-CVE-2021-3322.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,"Use together with the adjacent 2021 Zephyr set to test family-generalization, not only one-off heuristics."
zephyr_cve_2021_3323,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3323/zephyr-CVE-2021-3323.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3323/zephyr-CVE-2021-3323.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Expected to be useful for parser-object and derive/check calibration inside Zephyr.
zephyr_cve_2021_3329,monolithic-firmware-collection,high,primary_chain_driver,deep,medium,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3329/zephyr-CVE-2021-3329.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3329/zephyr-CVE-2021-3329.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Broader horizontal coverage candidate; keep as a seed until exact source path is resolved.
zephyr_cve_2021_3330,monolithic-firmware-collection,high,primary_chain_driver,deep,medium,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3330/zephyr-CVE-2021-3330.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-2021-3330/zephyr-CVE-2021-3330.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,target_for_artifact_gt,Another 2021 Zephyr seed with enough complexity to justify mesobench-level annotation later.
zephyr_false_positive_rf_size_check,monolithic-firmware-collection,high,negative_control,medium,medium,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-no-CVE-false-positive-rf-size-check/zephyr-CVE-no-CVE-false-positive-rf-size-check.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-no-CVE-false-positive-rf-size-check/zephyr-CVE-no-CVE-false-positive-rf-size-check.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,negative_control_gt_target,This sample should help suppress over-generated chains and over-promoted verdicts.
zephyr_false_positive_watchdog_callback,monolithic-firmware-collection,high,negative_control,medium,medium,optional,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-no-CVE-false-positive-watchdog-callback/zephyr-CVE-no-CVE-false-positive-watchdog-callback.elf,firmware/monolithic-firmware-collection/ARMCortex-M/D_FUZZWARE/new-targets/zephyr-os/prebuilt_samples/CVE-no-CVE-false-positive-watchdog-callback/zephyr-CVE-no-CVE-false-positive-watchdog-callback.bin,zephyr,https://github.com/zephyrproject-rtos/zephyr,firmware/source_repos/zephyr,full_upstream_repo,negative_control_gt_target,['Negative-control GT: spurious watchdog feed/store chains should be dropped.']
stm32cube_lwip_tcp_echo_client,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,likely,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_tcp_echo_client/stm32_tcp_echo_client.elf,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_tcp_echo_client/stm32_tcp_echo_client.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,full_upstream_repo,target_for_artifact_gt,Large STM32Cube networking example with raw-API callback chains and DMA-backed Ethernet buffers.
stm32cube_lwip_tcp_echo_server,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,likely,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_tcp_echo_server/stm32_tcp_echo_server.elf,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_tcp_echo_server/stm32_tcp_echo_server.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,full_upstream_repo,target_for_artifact_gt,Targeted GT uses the currently stable pipeline proxy object/channel so the sample participates in chain regression immediately.
stm32cube_lwip_udp_echo_client,monolithic-firmware-collection,high,primary_chain_driver,deep,medium,likely,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_udp_echo_client/stm32_udp_echo_client.elf,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_udp_echo_client/stm32_udp_echo_client.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,full_upstream_repo,target_for_artifact_gt,Useful UDP-specific chain shape with pbuf-driven packet handling but less noise than the server variant.
stm32cube_lwip_udp_echo_server,monolithic-firmware-collection,high,primary_chain_driver,deep,wide,likely,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_udp_echo_server/stm32_udp_echo_server.elf,firmware/monolithic-firmware-collection/ARMCortex-M/stm32_udp_echo_server/stm32_udp_echo_server.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,full_upstream_repo,target_for_artifact_gt,Semantic GT is richer than the current pipeline output; chain requirements stay intentionally loose for now.
usbs_tcp_echo_client_vuln_bof,uSBS,high,primary_chain_driver,deep,wide,optional,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_bof/STM32469I_EVAL_tcp_echo_base.elf,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_bof/STM32469I_EVAL_tcp_echo_base.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,upstream_base_plus_overlay,target_for_artifact_gt,uSBS sample with concrete replay inputs and benchmark overlay; useful for deeper network stack chains than microbench.
usbs_tcp_echo_client_vuln_bof_dhcp,uSBS,high,primary_chain_driver,deep,wide,likely,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_bof/STM32469I_EVAL_tcp_echo_base_DHCP/STM32469I_EVAL_tcp_echo_base.elf,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_bof/STM32469I_EVAL_tcp_echo_base_DHCP/STM32469I_EVAL_tcp_echo_base.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,upstream_base_plus_overlay,target_for_artifact_gt,DHCP-enabled uSBS variant is larger than the base BOF sample and adds extra network-stack objects and callback paths.
usbs_tcp_echo_client_vuln_off_by_one,uSBS,high,primary_chain_driver,deep,wide,optional,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_off_by_one/STM32469I_EVAL_tcp_echo_base.elf,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_off_by_one/STM32469I_EVAL_tcp_echo_base.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,upstream_base_plus_overlay,target_for_artifact_gt,Same protocol family as the BOF case but with different boundary semantics; useful for derive/check GT.
usbs_tcp_echo_client_payload_len_variant,uSBS,high,primary_chain_driver,deep,wide,optional,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_off_by_one_test_payload_len/STM32469I_EVAL_tcp_echo_base.elf,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_off_by_one_test_payload_len/STM32469I_EVAL_tcp_echo_base.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,upstream_base_plus_overlay,target_for_artifact_gt,Specifically useful for length-derived chains; prioritize root and derive/check annotation.
usbs_test_printf_fw,uSBS,high,primary_chain_driver,deep,medium,optional,firmware/uSBS/Ground-truth Benchmark/fw/test_printf_fw/STM32469I_EVAL_stm32_udp_echo_server.elf,firmware/uSBS/Ground-truth Benchmark/fw/test_printf_fw/STM32469I_EVAL_stm32_udp_echo_server.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,upstream_base_plus_overlay,target_for_artifact_gt,Useful for scaling the format-string sink family beyond toy microbench patterns.
usbs_udp_echo_server_bof,uSBS,high,primary_chain_driver,deep,wide,optional,firmware/uSBS/Ground-truth Benchmark/fw/udp_echo_server_bof/STM32469I_EVAL_stm32_udp_echo_server.elf,firmware/uSBS/Ground-truth Benchmark/fw/udp_echo_server_bof/STM32469I_EVAL_stm32_udp_echo_server.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,upstream_base_plus_overlay,target_for_artifact_gt,Primary uSBS UDP BOF case; richer than microbench due to stack and callback layers.
usbs_udp_echo_server_bof_expl,uSBS,high,primary_chain_driver,deep,wide,optional,firmware/uSBS/Ground-truth Benchmark/fw/udp_echo_server_bof_expl/STM32469I_EVAL_stm32_udp_echo_server.elf,firmware/uSBS/Ground-truth Benchmark/fw/udp_echo_server_bof_expl/STM32469I_EVAL_stm32_udp_echo_server.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,upstream_base_plus_overlay,target_for_artifact_gt,Keep alongside the plain BOF variant to compare exploitability-related checks and chain confidence.
usbs_tcp_echo_client_vuln_off_by_one_dhcp,uSBS,high,primary_chain_driver,deep,wide,likely,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_off_by_one/STM32469I_EVAL_tcp_echo_base_DHCP/STM32469I_EVAL_tcp_echo_base.elf,firmware/uSBS/Ground-truth Benchmark/fw/tcp_echo_client_vuln_off_by_one/STM32469I_EVAL_tcp_echo_base_DHCP/STM32469I_EVAL_tcp_echo_base.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,upstream_base_plus_overlay,target_for_artifact_gt,DHCP-enabled off-by-one variant is larger and noisier than the base case while staying inside the current sink family scope.
usbs_udp_echo_server_off_by_one,uSBS,high,primary_chain_driver,deep,wide,optional,firmware/uSBS/Ground-truth Benchmark/fw/udp_echo_server_off_by_one/STM32469I_EVAL_stm32_udp_echo_server.elf,firmware/uSBS/Ground-truth Benchmark/fw/udp_echo_server_off_by_one/STM32469I_EVAL_stm32_udp_echo_server.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,upstream_base_plus_overlay,target_for_artifact_gt,Pairs well with the TCP off-by-one case for generalizing derive/check handling.
usbs_udp_echo_server_bof_instrumented_patched,uSBS,high,hard_mode_chain_driver,deep,wide,likely,firmware/uSBS/Ground-truth Benchmark/fw/udp_echo_server_bof_instrumented_patched/STM32469I_EVAL_stm32_udp_echo_server.elf,firmware/uSBS/Ground-truth Benchmark/fw/udp_echo_server_bof_instrumented_patched/STM32469I_EVAL_stm32_udp_echo_server.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,upstream_base_plus_overlay,target_for_artifact_gt,Patched instrumented sample is kept target-scope: two representative copy chains plus the current DMA proxy object.
usbs_udp_echo_server_bof_instrumented,uSBS,high,hard_mode_chain_driver,deep,wide,likely,firmware/uSBS/Ground-truth Benchmark/fw/udp_echo_server_bof_instrumented/STM32469I_EVAL_stm32_udp_echo_server.elf,firmware/uSBS/Ground-truth Benchmark/fw/udp_echo_server_bof_instrumented/STM32469I_EVAL_stm32_udp_echo_server.bin,stm32cubef4,https://github.com/STMicroelectronics/STM32CubeF4,firmware/source_repos/STM32CubeF4,upstream_base_plus_overlay,target_for_artifact_gt,Instrumented variant is kept targeted on a loop-write chain because copy roots remain unstable in the older cached run.
